Thread	Address	Instruction	Result
00001DC9	.text:sum:loc_5624F561204A	jmp     loc_5624F5611A54	
00001DC9	.text:sum:loc_5624F5611A54	mov     rax, [rbp+var_128]	
00001DC9	.text:sum+264	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
00001DC9	.text:sum+267	movzx   eax, al	
00001DC9	.text:sum+26A	cmp     eax, 0B2h	CF=1 PF=0 SF=1 
00001DC9	.text:sum+26F	jz      loc_5624F5611E82	
00001DC9	.text:sum+275	cmp     eax, 0B2h	
00001DC9	.text:sum+27A	jg      short loc_5624F5611A8C	
00001DC9	.text:sum+27C	cmp     eax, 59h ; 'Y'	CF=0 PF=1 ZF=1 SF=0 
00001DC9	.text:sum+27F	jz      loc_5624F5611BC8	
00001DC9	.text:sum:loc_5624F5611BC8	mov     rdx, [rbp+var_128]	RDX=00005624F581301B 
00001DC9	.text:sum+3D8	mov     rcx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+3DF	mov     rax, cs:_2_sum_1_opaque_ptr_2	RAX=00005624F6EC92E0 
00001DC9	.text:sum+3E6	cmp     rcx, rax	PF=0 ZF=0 
00001DC9	.text:sum+3E9	setnz   al	RAX=00005624F6EC9201 
00001DC9	.text:sum+3EC	movzx   eax, al	RAX=0000000000000001 
00001DC9	.text:sum+3EF	add     rax, rdx	RAX=00005624F581301C 
00001DC9	.text:sum+3F2	mov     [rbp+var_128], rax	
00001DC9	.text:sum+3F9	mov     rax, [rbp+var_130]	RAX=00007FFEB943A170 
00001DC9	.text:sum+400	mov     rcx, cs:_2_sum_1_opaque_ptr_1	
00001DC9	.text:sum+407	mov     rdx, cs:_2_sum_1_opaque_ptr_2	RDX=00005624F6EC92E0 
00001DC9	.text:sum+40E	cmp     rcx, rdx	
00001DC9	.text:sum+411	jnz     short loc_5624F5611C11	
00001DC9	.text:sum:loc_5624F5611C11	mov     edx, 0	RDX=0000000000000000 
00001DC9	.text:sum:loc_5624F5611C16	add     rax, rdx	
00001DC9	.text:sum+422	mov     rax, [rax]	RAX=00007FFEB943A10C 
00001DC9	.text:sum+425	mov     rdx, [rbp+var_130]	RDX=00007FFEB943A170 
00001DC9	.text:sum+42C	mov     rsi, cs:_2_sum_1_opaque_ptr_1	
