Thread	Address	Instruction	Result
0000102D	.text:sum+25F	add     rax, 1	RAX=0000564414310024 ZF=0 
0000102D	.text:sum+263	mov     [rbp+var_128], rax	
0000102D	.text:sum+26A	mov     rdx, [rbp+var_128]	RDX=0000564414310024 
0000102D	.text:sum+271	mov     rax, [rbp+var_128]	
0000102D	.text:sum+278	mov     eax, [rax]	RAX=0000000000000004 
0000102D	.text:sum+27A	cdqe	
0000102D	.text:sum+27C	add     rax, rdx	RAX=0000564414310028 
0000102D	.text:sum+27F	mov     [rbp+var_128], rax	
0000102D	.text:sum+286	nop	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=000000000000007E 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	CF=1 SF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum+61	cmp     eax, 59h ; 'Y'	CF=0 PF=0 SF=0 
0000102D	.text:sum+64	jz      loc_56441410F84B	
0000102D	.text:sum+6A	cmp     eax, 7Eh ; '~'	PF=1 ZF=1 
0000102D	.text:sum+6D	jz      short loc_56441410F7EF	
0000102D	.text:sum:loc_56441410F7EF	mov     rax, [rbp+var_128]	RAX=0000564414310028 
0000102D	.text:sum+A4	add     rax, 1	RAX=0000564414310029 PF=0 ZF=0 
0000102D	.text:sum+A8	mov     [rbp+var_128], rax	
0000102D	.text:sum+AF	mov     rax, [rbp+var_128]	
0000102D	.text:sum+B6	mov     eax, [rax]	RAX=0000000000000008 
0000102D	.text:sum+B8	movsxd  rdx, eax	RDX=0000000000000008 
0000102D	.text:sum+BB	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA0 
0000102D	.text:sum+C2	add     rax, 8	RAX=00007FFED3F79CA8 
0000102D	.text:sum+C6	lea     rcx, [rbp+var_14]	
0000102D	.text:sum+CA	add     rdx, rcx	RDX=00007FFED3F79DB4 PF=1 AF=1 
0000102D	.text:sum+CD	mov     [rax], rdx	
0000102D	.text:sum+D0	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA0 
0000102D	.text:sum+D7	add     rax, 8	RAX=00007FFED3F79CA8 PF=0 AF=0 
0000102D	.text:sum+DB	mov     [rbp+var_130], rax	
0000102D	.text:sum+E2	mov     rax, [rbp+var_128]	RAX=0000564414310029 
0000102D	.text:sum+E9	add     rax, 4	RAX=000056441431002D PF=1 
0000102D	.text:sum+ED	mov     [rbp+var_128], rax	
0000102D	.text:sum+F4	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	CF=1 PF=0 SF=1 
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum+61	cmp     eax, 59h ; 'Y'	CF=0 PF=1 ZF=1 SF=0 
0000102D	.text:sum+64	jz      loc_56441410F84B	
0000102D	.text:sum:loc_56441410F84B	mov     rax, [rbp+var_128]	RAX=000056441431002D 
0000102D	.text:sum+100	add     rax, 1	RAX=000056441431002E ZF=0 
0000102D	.text:sum+104	mov     [rbp+var_128], rax	
0000102D	.text:sum+10B	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+112	mov     rdx, [rax]	
0000102D	.text:sum+115	mov     rax, [rbp+var_130]	
0000102D	.text:sum+11C	mov     edx, [rdx]	RDX=000000000000000F 
0000102D	.text:sum+11E	mov     [rax], edx	
0000102D	.text:sum+120	jmp     loc_56441410F9D9	
0000102D	.text:sum:loc_56441410F9D9	jmp     loc_56441410F794	
0000102D	.text:sum:loc_56441410F794	mov     rax, [rbp+var_128]	RAX=000056441431002E 
0000102D	.text:sum+49	movzx   eax, byte ptr [rax]	RAX=00000000000000F9 
0000102D	.text:sum+4C	movzx   eax, al	
0000102D	.text:sum+4F	cmp     eax, 0B2h	
0000102D	.text:sum+54	jz      loc_56441410F933	
0000102D	.text:sum+5A	cmp     eax, 0B2h	
0000102D	.text:sum+5F	jg      short loc_56441410F7CC	
0000102D	.text:sum:loc_56441410F7CC	cmp     eax, 0F2h	PF=0 
0000102D	.text:sum+7F	jz      loc_56441410F877	
0000102D	.text:sum+85	cmp     eax, 0F9h	PF=1 ZF=1 
0000102D	.text:sum+8A	jz      loc_56441410F97E	
0000102D	.text:sum:loc_56441410F97E	mov     rax, [rbp+var_128]	RAX=000056441431002E 
0000102D	.text:sum+233	add     rax, 1	RAX=000056441431002F PF=0 ZF=0 
0000102D	.text:sum+237	mov     [rbp+var_128], rax	
0000102D	.text:sum+23E	mov     rax, [rbp+var_130]	RAX=00007FFED3F79CA8 
0000102D	.text:sum+245	mov     eax, [rax]	RAX=000000000000000F 
0000102D	.text:sum+247	mov     rsi, [rbp+var_8]	RSI=01A085B9EF8D1200 
0000102D	.text:sum+24B	xor     rsi, fs:28h	RSI=0000000000000000 PF=1 ZF=1 
0000102D	.text:sum+254	jz      short locret_56441410F9E3	
0000102D	.text:sum:locret_56441410F9E3	leave	RBP=00007FFED3F79E10 RSP=00007FFED3F79DC8 
0000102D	.text:sum+292	retn	RSP=00007FFED3F79DD0 
0000102D	.text:main+5B	mov     [rbp+var_8], eax	
0000102D	.text:main+5E	mov     eax, [rbp+var_8]	
0000102D	.text:main+61	mov     [rbp+var_4], eax	
0000102D	.text:main+64	mov     eax, [rbp+var_4]	
0000102D	.text:main+67	mov     esi, eax	RSI=000000000000000F 
0000102D	.text:main+69	lea     rdi, format; \"The sum is %d.\\n\"	RDI=000056441410FA75 
0000102D	.text:main+70	mov     eax, 0	RAX=0000000000000000 
0000102D	.text:main+75	call    _printf	RSP=00007FFED3F79DC8 
0000102D	.plt:_printf	jmp     cs:printf_ptr	RAX=000000000000000F RCX=0000000000000000 RDX=0000000000000000 RSI=00005644153852A0 RDI=00007F276E6787E0 RSP=00007FFED3F79DD0 R9=000000000000000F R10=000056441410FA82 R11=0000000000000246 PF=0 ZF=0 
0000102D	.text:main+7A	mov     eax, 0	RAX=0000000000000000 
0000102D	.text:main+7F	leave	RBP=0000000000000000 RSP=00007FFED3F79E18 

