Thread	Address	Instruction	Result
0000134A	.text:000055A94535F9ED	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A00 
0000134A	.text:000055A94535F9F4	add     rax, 8	RAX=00007FFF063C6A08 PF=0 AF=0 
0000134A	.text:000055A94535F9F8	mov     [rbp-1B0h], rax	
0000134A	.text:000055A94535F9FF	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69E8 
0000134A	.text:000055A94535FA06	add     rax, 8	RAX=00007FFF063C69F0 PF=1 AF=1 
0000134A	.text:000055A94535FA0A	mov     [rbp-1A8h], rax	
0000134A	.text:000055A94535FA11	mov     rax, [rbp-1A8h]	
0000134A	.text:000055A94535FA18	mov     rax, [rax]	RAX=000055A94535F984 
0000134A	.text:000055A94535FA1B	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sub_55A94535F984	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69F0 
0000134A	.text:sub_55A94535F984+7	add     rax, 8	RAX=00007FFF063C69F8 PF=0 AF=0 
0000134A	.text:sub_55A94535F984+B	mov     [rbp-1A8h], rax	
0000134A	.text:sub_55A94535F984+12	mov     rax, [rbp-1B0h]	RAX=00007FFF063C6A08 
0000134A	.text:sub_55A94535F984+19	mov     rdx, [rax]	
0000134A	.text:sub_55A94535F984+1C	mov     rax, [rbp-1B0h]	
0000134A	.text:sub_55A94535F984+23	mov     edx, [rdx]	RDX=000000000000000F 
0000134A	.text:sub_55A94535F984+25	mov     [rax], edx	
0000134A	.text:sub_55A94535F984+27	mov     rax, [rbp-1A8h]	RAX=00007FFF063C69F8 
0000134A	.text:sub_55A94535F984+2E	mov     rax, [rax]	RAX=000055A94535F7E9 
0000134A	.text:sub_55A94535F984+31	jmp     loc_55A94535F81C	
0000134A	.text:sum:loc_55A94535F81C	jmp     rax	
0000134A	.text:sum:loc_55A94535F7E9	mov     rax, [rbp+var_1A8]	RAX=00007FFF063C69F8 
0000134A	.text:sum+126	add     rax, 8	RAX=00007FFF063C6A00 PF=1 AF=1 
0000134A	.text:sum+12A	mov     [rbp+var_1A8], rax	
0000134A	.text:sum+131	mov     rax, [rbp+var_1B0]	RAX=00007FFF063C6A08 
0000134A	.text:sum+138	mov     eax, [rax]	RAX=000000000000000F 
0000134A	.text:sum+13A	mov     rsi, [rbp+var_8]	RSI=01229841EC19BC00 
0000134A	.text:sum+13E	xor     rsi, fs:28h	RSI=0000000000000000 AF=0 ZF=1 
0000134A	.text:sum+147	jz      locret_55A94535FA25	
0000134A	.text:sum:locret_55A94535FA25	leave	RBP=00007FFF063C6B70 RSP=00007FFF063C6B28 
0000134A	.text:sum+35C	retn	RSP=00007FFF063C6B30 
0000134A	.text:main+5B	mov     [rbp+var_8], eax	
0000134A	.text:main+5E	mov     eax, [rbp+var_8]	
0000134A	.text:main+61	mov     [rbp+var_4], eax	
0000134A	.text:main+64	mov     eax, [rbp+var_4]	
0000134A	.text:main+67	mov     esi, eax	RSI=000000000000000F 
0000134A	.text:main+69	lea     rdi, format; \"The sum is %d.\\n\"	RDI=000055A94535FB45 
0000134A	.text:main+70	mov     eax, 0	RAX=0000000000000000 
0000134A	.text:main+75	call    _printf	RSP=00007FFF063C6B28 
0000134A	.plt:_printf	jmp     cs:printf_ptr	RAX=000000000000000F RCX=0000000000000000 RDX=0000000000000000 RSI=000055A946B372A0 RDI=00007F1C3447B7E0 RSP=00007FFF063C6B30 R9=000000000000000F R10=000055A94535FB52 R11=0000000000000246 ZF=0 
0000134A	.text:main+7A	mov     eax, 0	RAX=0000000000000000 
0000134A	.text:main+7F	leave	RBP=0000000000000000 RSP=00007FFF063C6B78 

