Thread	Address	Instruction	Result
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332108	mov     rax, [rbp-928h]	RAX=0000564775533038 
000013BA	.text:sub_564775332108+7	add     rax, 1	RAX=0000564775533039 PF=1 
000013BA	.text:sub_564775332108+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332108+12	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332108+19	mov     eax, [rax]	RAX=0000000000000008 
000013BA	.text:sub_564775332108+1B	movsxd  rdx, eax	RDX=0000000000000008 
000013BA	.text:sub_564775332108+1E	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE210 
000013BA	.text:sub_564775332108+25	add     rax, 8	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332108+29	lea     rcx, [rbp-14h]	
000013BA	.text:sub_564775332108+2D	add     rdx, rcx	RDX=00007FFFAFFCEB24 AF=1 
000013BA	.text:sub_564775332108+30	mov     [rax], rdx	
000013BA	.text:sub_564775332108+33	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE210 
000013BA	.text:sub_564775332108+3A	add     rax, 8	RAX=00007FFFAFFCE218 AF=0 
000013BA	.text:sub_564775332108+3E	mov     [rbp-930h], rax	
000013BA	.text:sub_564775332108+45	mov     rax, [rbp-928h]	RAX=0000564775533039 
000013BA	.text:sub_564775332108+4C	add     rax, 4	RAX=000056477553303D PF=0 
000013BA	.text:sub_564775332108+50	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332108+57	mov     rax, [rbp-928h]	
000013BA	.text:sub_564775332108+5E	movzx   eax, byte ptr [rax]	RAX=0000000000000059 
000013BA	.text:sub_564775332108+61	movzx   eax, al	
000013BA	.text:sub_564775332108+64	cdqe	
000013BA	.text:sub_564775332108+66	mov     rax, [rbp+rax*8-820h]	RAX=0000564775332001 
000013BA	.text:sub_564775332108+6E	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_564775332001	mov     rax, [rbp-928h]	RAX=000056477553303D 
000013BA	.text:sub_564775332001+7	add     rax, 1	RAX=000056477553303E 
000013BA	.text:sub_564775332001+B	mov     [rbp-928h], rax	
000013BA	.text:sub_564775332001+12	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_564775332001+19	mov     rdx, [rax]	
000013BA	.text:sub_564775332001+1C	mov     rax, [rbp-930h]	
000013BA	.text:sub_564775332001+23	mov     edx, [rdx]	RDX=000000000000000F 
000013BA	.text:sub_564775332001+25	mov     [rax], edx	
000013BA	.text:sub_564775332001+27	mov     rax, [rbp-928h]	RAX=000056477553303E 
000013BA	.text:sub_564775332001+2E	movzx   eax, byte ptr [rax]	RAX=00000000000000F9 
000013BA	.text:sub_564775332001+31	movzx   eax, al	
000013BA	.text:sub_564775332001+34	cdqe	
000013BA	.text:sub_564775332001+36	mov     rax, [rbp+rax*8-820h]	RAX=00005647753320D5 
000013BA	.text:sub_564775332001+3E	jmp     loc_564775331FA9	
000013BA	.text:sum:loc_564775331FA9	jmp     rax	
000013BA	.text:sub_5647753320D5	mov     rax, [rbp-928h]	RAX=000056477553303E 
000013BA	.text:sub_5647753320D5+7	add     rax, 1	RAX=000056477553303F PF=1 
000013BA	.text:sub_5647753320D5+B	mov     [rbp-928h], rax	
000013BA	.text:sub_5647753320D5+12	mov     rax, [rbp-930h]	RAX=00007FFFAFFCE218 
000013BA	.text:sub_5647753320D5+19	mov     eax, [rax]	RAX=000000000000000F 
000013BA	.text:sub_5647753320D5+1B	mov     rsi, [rbp-8]	RSI=9ABEF2F90EA76E00 
000013BA	.text:sub_5647753320D5+1F	xor     rsi, fs:28h	RSI=0000000000000000 ZF=1 
000013BA	.text:sub_5647753320D5+28	jz      locret_5647753321CA	
000013BA	.text:sub_5647753320D5:locret_5647753321CA	leave	RBP=00007FFFAFFCEB80 RSP=00007FFFAFFCEB38 
000013BA	.text:sub_5647753320D5+F6	retn	RSP=00007FFFAFFCEB40 
000013BA	.text:main+5B	mov     [rbp+var_8], eax	
000013BA	.text:main+5E	mov     eax, [rbp+var_8]	
000013BA	.text:main+61	mov     [rbp+var_4], eax	
000013BA	.text:main+64	mov     eax, [rbp+var_4]	
000013BA	.text:main+67	mov     esi, eax	RSI=000000000000000F 
000013BA	.text:main+69	lea     rdi, format; \"The sum is %d.\\n\"	RDI=00005647753322E5 
000013BA	.text:main+70	mov     eax, 0	RAX=0000000000000000 
000013BA	.text:main+75	call    _printf	RSP=00007FFFAFFCEB38 
000013BA	.plt:_printf	jmp     cs:printf_ptr	RAX=000000000000000F RCX=0000000000000000 RDX=0000000000000000 RSI=0000564776E302A0 RDI=00007F14AC2E27E0 RSP=00007FFFAFFCEB40 R9=000000000000000F R10=00005647753322F2 R11=0000000000000246 PF=0 ZF=0 
000013BA	.text:main+7A	mov     eax, 0	RAX=0000000000000000 
000013BA	.text:main+7F	leave	RBP=0000000000000000 RSP=00007FFFAFFCEB88 

